,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,NH3,Space Velocity,Temperature,Concentration,Standard Error,nAveraged,Groups
1584,87,Ru,1.0,Mo,3.0,K,12.0,6.0,5.0,1410.0,350,0.0,0.0,3,42.0
1587,87,Ru,1.0,Mo,3.0,K,12.0,6.0,5.0,1975.0,350,0.0,0.0,3,42.0
1590,87,Ru,1.0,Mo,3.0,K,12.0,6.0,5.0,2539.0,350,0.0,0.0,2,42.0
1449,87,Ru,1.0,Mo,3.0,K,12.0,6.0,1.02,2536.212871287129,400,0.3805182095443291,0.009738357458413198,3,42.0
1452,87,Ru,1.0,Mo,3.0,K,12.0,6.0,1.02,2536.212871287129,450,0.7136789680950413,0.009667345317003305,3,42.0
1455,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1.45,2537.039800995025,250,0.4948017452790801,0.002512894887364689,4,77.0
1459,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1.45,2537.039800995025,300,0.5173962101246217,0.006597238095494118,2,77.0
1461,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1.45,2537.039800995025,350,0.6128629113064615,0.006547137232452589,3,77.0
1592,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5.0,846.0,350,0.4380661901573906,0.017195430860252454,3,77.0
1595,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5.0,1410.0,350,0.307445034369696,0.006945312071893716,3,77.0
1598,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5.0,1975.0,350,0.24395965652998267,0.008920235407186144,3,77.0
1601,89,Ru,2.0,Ir,2.0,K,12.0,9.0,5.0,2539.0,350,0.2977508007128,0.002214595516060014,2,77.0
1464,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1.45,2537.039800995025,400,0.887025635975014,0.0055185046881679155,3,77.0
1467,89,Ru,2.0,Ir,2.0,K,12.0,9.0,1.45,2537.039800995025,450,1.0,0.0,3,77.0
1470,90,Ru,1.0,Ir,3.0,K,12.0,10.0,0.93,2540.70351758794,250,0.1655352610685138,0.009907832490261143,4,77.0
1474,90,Ru,1.0,Ir,3.0,K,12.0,10.0,0.93,2540.70351758794,300,0.1699672072669393,0.013594981122968293,2,77.0
1476,90,Ru,1.0,Ir,3.0,K,12.0,10.0,0.93,2540.70351758794,350,0.16831972186638575,0.008447456566558431,3,77.0
1603,90,Ru,1.0,Ir,3.0,K,12.0,10.0,5.0,846.0,350,0.158604086531868,0.004778835515904822,3,77.0
1606,90,Ru,1.0,Ir,3.0,K,12.0,10.0,5.0,1410.0,350,0.12421786919966132,0.012641632361272493,3,77.0
1609,90,Ru,1.0,Ir,3.0,K,12.0,10.0,5.0,1975.0,350,0.08485793634000734,0.00279306182359818,3,77.0
