,ID,Ele1,Wt1,Ele2,Wt2,Ele3,Wt3,Reactor,Wt(g),NH3,Space Velocity,Ramp Direction,Temperature,Pred Value,Concentration
227,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,250,0.00703666779934908,0.3323746892812701
228,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,250,0.00711861129013697,0.3246000507650531
229,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,250,0.006841728601649321,0.35087013998985705
230,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,250,0.007417156685203391,0.2962746462087514
231,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,300,0.00547299175891194,0.480733220922745
232,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,300,0.00559681225178257,0.4689853741601414
233,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,300,0.00572037402079129,0.4572620746127287
234,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,300,0.00525743322722184,0.5011849938074887
235,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,300,0.00576811754807444,0.4527322619022055
236,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,300,0.0052420890321299395,0.5026408210979153
237,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,350,0.00137810258119326,0.8692483160770298
238,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,350,0.00148222348536544,0.8593695278519131
239,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,350,0.00123310607409065,0.8830053017509115
240,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,350,0.000373404998267515,0.9645720623594968
241,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,350,0.000868048598269319,0.9176412427495696
242,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,down,350,0.0011267498867644698,0.8930961692801515
243,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,400,0.00031065481377190896,0.9705256774250554
244,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,400,0.00011655437521808201,0.9889415483024796
245,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,400,0.000125422135220478,0.9881001925363986
246,34,Ru,2.0,Mg,2.0,K,12.0,11.0,0.2,0.010539845758354751,2304.8250000000007,up,450,0.00039271993754778597,0.962739498608271
