,X,Y,Yfit
643,799.886,27.5,0.00136504
644,800.865,28.5,0.00135813
645,801.844,23.5,0.00135129
646,802.823,26,0.00134452
647,803.801,26.5,0.00133782
648,804.78,28.5,0.00133118
649,805.759,27.5,0.0013246
650,806.737,23,0.0013181
651,807.714,29,0.00131167
652,808.692,27.5,0.00130529
653,809.668,23.5,0.00129899
654,810.646,26.5,0.00129274
655,811.623,27,0.00128655
656,812.599,26.5,0.00128044
657,813.575,25.5,0.00127438
658,814.551,24,0.00126839
659,815.527,27.5,0.00126245
660,816.503,24,0.00125658
661,817.477,21,0.00125078
662,818.452,26.5,0.00124502
663,819.426,24,0.00123934
664,820.401,24,0.0012337
665,821.375,24.5,0.00122813
666,822.349,22.5,0.00122262
667,823.322,23,0.00121717
668,824.296,29,0.00121176
669,825.269,25,0.00120643
670,826.242,26,0.00120114
671,827.215,24.5,0.00119592
672,828.186,24,0.00119076
673,829.159,25.5,0.00118564
674,830.13,21,0.00118059
675,831.103,23.5,0.00117559
676,832.074,24,0.00117065
677,833.045,25,0.00116576
678,834.015,27,0.00116094
679,834.986,21.5,0.00115616
680,835.956,27,0.00115144
681,836.927,27,0.00114677
682,837.896,25,0.00114217
683,838.866,24,0.00113762
684,839.834,27,0.00113312
685,840.804,26,0.00112868
686,841.773,29.5,0.00112429
687,842.741,26,0.00111996
688,843.709,26,0.00111569
689,844.677,23,0.00111147
690,845.645,21.5,0.0011073
691,846.612,26,0.00110319
692,847.58,25,0.00109914
693,848.546,27.5,0.00109514
694,849.514,27.5,0.0010912
695,850.479,24,0.00108732
696,851.447,26,0.00108348
697,852.412,28.5,0.00107971
698,853.378,24,0.001076
699,854.343,26,0.00107234
700,855.308,24.5,0.00106875
701,856.274,28.5,0.0010652
702,857.239,28.5,0.00106172
703,858.202,25,0.0010583
704,859.167,29,0.00105494
705,860.13,23.5,0.00105164
706,861.095,23.5,0.0010484
707,862.058,24.5,0.00104522
708,863.021,28.5,0.0010421
709,863.983,28,0.00103906
710,864.946,28,0.00103607
711,865.909,24.5,0.00103314
712,866.871,25.5,0.00103028
713,867.832,28.5,0.00102749
714,868.794,26.5,0.00102477
715,869.756,27,0.00102211
716,870.717,26,0.00101953
717,871.677,29,0.00101702
718,872.638,27.5,0.00101458
719,873.599,27,0.00101221
720,874.559,26,0.00100992
721,875.518,23,0.00100771
722,876.478,24.5,0.00100558
723,877.437,26,0.00100352
724,878.397,22,0.00100155
725,879.355,24.5,0.000999665
726,880.314,29,0.000997864
727,881.272,31,0.000996154
728,882.23,28,0.000994534
729,883.188,24,0.000993007
730,884.145,24.5,0.000991578
731,885.103,24.5,0.000990247
732,886.06,24,0.000989018
733,887.017,25.5,0.000987895
734,887.973,29,0.000986881
735,888.93,26.5,0.000985979
736,889.885,26,0.000985194
737,890.842,28.5,0.000984527
738,891.797,30,0.000983985
739,892.752,29,0.000983573
740,893.707,25,0.000983294
741,894.662,27.5,0.000983154
742,895.616,25,0.000983158
743,896.571,27.5,0.000983312
744,897.525,25.5,0.000983623
