	X	Y	Yfit
485	641.91	32.5	2.02724
486	642.93	34	1.96141
487	643.95	34.5	1.91086
488	644.969	30.5	1.87365
489	645.989	36	1.84819
490	647.008	32	1.83336
491	648.026	33.5	1.82823
492	649.045	39	1.83213
493	650.063	33.5	1.84458
494	651.082	32.5	1.8653
495	652.098	38	1.89402
496	653.116	36	1.93085
497	654.133	35	1.97578
498	655.15	37.5	2.02907
499	656.167	36	2.09105
500	657.183	34	2.16211
501	658.2	37.5	2.24297
502	659.216	37	2.33422
503	660.231	34.5	2.4367
504	661.247	40	2.55167
505	662.262	36.5	2.68017
506	663.276	35	2.82363
507	664.291	39.5	2.98411
508	665.306	42	3.16352
509	666.319	36.5	3.36386
510	667.333	40.5	3.58861
511	668.347	34.5	3.84092
512	669.36	43.5	4.12455
513	670.373	35	4.44449
514	671.386	44	4.8064
515	672.398	44	5.21665
516	673.411	41.5	5.68413
517	674.423	39	6.21762
518	675.435	41.5	6.82922
519	676.446	44	7.53206
520	677.458	44.5	8.34422
521	678.468	43	9.28274
522	679.479	40.5	10.3732
523	680.49	44.5	11.6413
524	681.5	47	13.1147
525	682.51	48.5	14.8247
526	683.52	47	16.7989
527	684.529	51.5	19.0527
528	685.539	50	21.5866
529	686.547	51.5	24.3489
530	687.556	55	27.2414
531	688.565	55	30.0716
532	689.572	61.5	32.5602
533	690.58	66	34.39
534	691.588	64.5	35.2653
535	692.596	67	35.0287
536	693.602	65.5	33.7266
537	694.609	60.5	31.581
538	695.616	63.5	28.9102
539	696.623	60.5	26.0254
540	697.629	52	23.1692
541	698.634	49.5	20.4942
542	699.64	48.5	18.0721
543	700.645	51	15.9329
544	701.651	36	14.066
545	702.655	49	12.454
546	703.66	39	11.063
547	704.664	39.5	9.86611
548	705.668	40	8.83403
549	706.672	36	7.94214
550	707.675	36	7.16971
551	708.679	33	6.49702
552	709.682	34	5.91019
553	710.684	29	5.39615
554	711.688	33.5	4.94281
555	712.689	32.5	4.54337
556	713.692	32	4.18832
557	714.694	33.5	3.87252
558	715.695	33	3.59058
559	716.696	31	3.33776
560	717.697	31	3.11029
561	718.698	33.5	2.905
562	719.699	30	2.71917
563	720.698	29	2.55078
564	721.698	37	2.39732
565	722.699	31.5	2.25712
566	723.698	30.5	2.12908
567	724.696	34	2.01175
568	725.696	33.5	1.90367
569	726.695	29	1.80418
570	727.693	29	1.71243
571	728.691	30	1.62754
572	729.689	33	1.54885
573	730.686	30	1.47587
574	731.684	34	1.4079
575	732.681	30	1.34464
576	733.678	28.5	1.28561
577	734.675	34	1.23043
578	735.671	32	1.17883
579	736.667	31	1.13046
580	737.662	30.5	1.0851
581	738.659	34	1.04239
582	739.655	33.5	1.00223
583	740.648	32	0.964505
584	741.643	32	0.928846
585	742.638	34	0.89517
586	743.633	30.5	0.863334
587	744.627	35.5	0.833234
588	745.621	28.5	0.80472
589	746.614	29	0.777706
590	747.607	32.5	0.752065
591	748.6	29	0.727704
592	749.593	30	0.704538
593	750.585	31	0.682514
594	751.578	30.5	0.661515
595	752.57	32	0.641517
596	753.562	33	0.622439
597	754.553	31	0.604244
598	755.545	29	0.586841
599	756.535	27	0.570236
600	757.527	33.5	0.554316
601	758.517	30	0.539104
602	759.507	30.5	0.524531
603	760.497	30.5	0.510561
604	761.487	36.5	0.497161
605	762.476	30.5	0.484311
606	763.466	30.5	0.471959
607	764.454	26.5	0.460113
608	765.443	30.5	0.448712
609	766.432	27	0.437744
610	767.419	26	0.42721
611	768.407	35.5	0.417055
612	769.396	31.5	0.407262
613	770.383	30.5	0.397841
614	771.37	30	0.388756
615	772.357	30	0.37999
616	773.344	31	0.371529
617	774.329	28	0.363375
618	775.316	28.5	0.355481
619	776.302	32	0.34786
620	777.287	31.5	0.340498
621	778.273	30	0.33337
622	779.258	31	0.326479
623	780.242	33.5	0.319815
624	781.227	28	0.313355
625	782.211	32.5	0.307103
626	783.195	32	0.301045
627	784.179	32	0.295171
628	785.163	28	0.289475
629	786.146	27.5	0.283955
630	787.129	29.5	0.278598
631	788.111	26.5	0.273403
632	789.095	29	0.268349
633	790.077	28.5	0.263448
634	791.058	30	0.258692
635	792.04	27.5	0.254065
636	793.021	27	0.24957
637	794.003	31	0.245195
638	794.984	27	0.240943
639	795.965	26	0.236806
640	796.946	30.5	0.232779
641	797.926	30	0.228863
642	798.906	31.5	0.225049
643	799.886	33	0.221335
644	800.865	30	0.217719
645	801.844	31.5	0.214195
646	802.823	27.5	0.21076
647	803.801	30	0.207415
648	804.78	28	0.204148
649	805.759	29	0.200963
650	806.737	29	0.197857
651	807.714	28	0.19483
652	808.692	32	0.191871
653	809.668	29	0.188989
654	810.646	33	0.186169
655	811.623	30	0.183417
656	812.599	31	0.180731
657	813.575	31	0.178107
658	814.551	31	0.175542
659	815.527	29	0.173035
660	816.503	28	0.170583
661	817.477	31.5	0.168191
662	818.452	27.5	0.165849
663	819.426	30.5	0.16356
664	820.401	29	0.161319
665	821.375	31.5	0.159127
666	822.349	30	0.156982
667	823.322	30	0.154885
668	824.296	28	0.152829
669	825.269	31.5	0.150818
670	826.242	34	0.148848
671	827.215	32.5	0.146919
672	828.186	25	0.145032
673	829.159	30	0.14318
674	830.13	30	0.141368
675	831.103	33	0.139589
676	832.074	28	0.137848
677	833.045	32.5	0.136142
678	834.015	28.5	0.13447
679	834.986	29.5	0.132828
680	835.956	26.5	0.13122
681	836.927	28	0.12964
682	837.896	29	0.128094
683	838.866	32.5	0.126574
684	839.834	29	0.125086
685	840.804	29.5	0.123623
686	841.773	33.5	0.122188
687	842.741	30.5	0.12078
688	843.709	27	0.119398
689	844.677	29	0.11804
690	845.645	30	0.116707
691	846.612	35	0.115398
692	847.58	25.5	0.114112
693	848.546	30.5	0.11285
694	849.514	28.5	0.111608
695	850.479	29.5	0.110391
696	851.447	30.5	0.109191
697	852.412	28	0.108015
698	853.378	28	0.106858
699	854.343	27	0.105721
700	855.308	30	0.104604
701	856.274	31	0.103503
702	857.239	28	0.102422
703	858.202	29	0.101361
704	859.167	33.5	0.100315
705	860.13	31	0.0992883
706	861.095	30.5	0.0982758
707	862.058	29	0.0972815
708	863.021	32.5	0.096303
709	863.983	30	0.0953409
710	864.946	27.5	0.0943929
711	865.909	27.5	0.0934597
712	866.871	27	0.092542
713	867.832	26.5	0.0916393
714	868.794	33	0.0907495
715	869.756	25	0.0898733
716	870.717	27.5	0.0890112
717	871.677	33.5	0.088163
718	872.638	28.5	0.0873266
719	873.599	29.5	0.0865026
720	874.559	27.5	0.0856917
